15 vectors, 85 steps, 9 subjects

SUBJECT           RESULT  ASSERTIONS  OBSERVATIONS
native+local      PASS        15/15            77
langgraph+local   PASS        15/15            77
llamaindex+local  PASS        15/15            77
adk+local         PASS        15/15            77
native+mcp        PASS        15/15            77
langgraph+mcp     PASS        15/15            77
llamaindex+mcp    PASS        15/15            77
adk+mcp           PASS        15/15            77
toy               PASS        15/15            77

AD-015: 0 / 39 prohibited steps executed per subject (target exactly 0)
